customer_id,customer_name,lat,lng,district,zone,receive_start,receive_end,unload_min,truck_access_type,priority
C001,Store_001,10.807454,106.725071,Thu Duc,north_hcm,08:00,17:00,23,5T_allowed,normal
C002,Store_002,10.843199,106.689866,Binh Thanh,north_hcm,09:00,18:00,17,5T_allowed,normal
C003,Store_003,10.785602,106.645599,Binh Thanh,north_hcm,08:00,17:00,15,5T_allowed,normal
C004,Store_004,10.775808,106.716618,Thu Duc,north_hcm,09:00,17:00,22,5T_allowed,normal
C005,Store_005,10.830112,106.700807,Binh Thanh,north_hcm,08:00,18:00,28,5T_allowed,normal
C006,Store_006,10.772058,106.726991,Go Vap,north_hcm,08:00,17:00,27,5T_allowed,vip
C007,Store_007,10.853244,106.651234,Thu Duc,north_hcm,08:00,17:00,29,5T_allowed,vip
C008,Store_008,10.788182,106.64834,Go Vap,north_hcm,08:00,18:00,24,2T_only,normal
C009,Store_009,10.800424,106.682476,Go Vap,north_hcm,09:00,17:00,17,5T_allowed,normal
C010,Store_010,10.813195,106.659123,Go Vap,north_hcm,08:00,17:00,18,5T_allowed,normal
C011,Store_011,10.831185,106.643949,Go Vap,north_hcm,08:00,17:00,26,5T_allowed,normal
C012,Store_012,10.799214,106.666636,Thu Duc,north_hcm,09:00,17:00,20,5T_allowed,normal
C013,Store_013,10.815607,106.708518,Go Vap,north_hcm,08:00,17:00,22,5T_allowed,vip
C014,Store_014,10.789967,106.681423,Binh Thanh,north_hcm,08:00,17:00,25,5T_allowed,normal
C015,Store_015,10.829241,106.634645,Thu Duc,north_hcm,09:00,17:00,21,5T_allowed,normal
C016,Store_016,10.830754,106.647052,Thu Duc,north_hcm,08:00,17:00,23,5T_allowed,normal
C017,Store_017,10.776505,106.724889,Thu Duc,north_hcm,08:00,18:00,28,2T_only,normal
C018,Store_018,10.866563,106.71084,Binh Thanh,north_hcm,08:00,18:00,30,5T_allowed,normal
C019,Store_019,10.800461,106.639767,Binh Thanh,north_hcm,08:00,18:00,20,5T_allowed,normal
C020,Store_020,10.838423,106.674015,Binh Thanh,north_hcm,08:00,17:00,29,5T_allowed,vip
C021,Store_021,10.662204,106.699518,District 7,south_hcm,09:00,18:00,18,5T_allowed,normal
C022,Store_022,10.653439,106.740932,Nha Be,south_hcm,09:00,17:00,18,5T_allowed,normal
C023,Store_023,10.675878,106.716252,District 7,south_hcm,09:00,18:00,23,cold_required,normal
C024,Store_024,10.681171,106.702007,Binh Chanh,south_hcm,08:00,18:00,24,2T_only,normal
C025,Store_025,10.704671,106.668485,District 7,south_hcm,08:00,17:00,20,5T_allowed,normal
C026,Store_026,10.746958,106.727513,Binh Chanh,south_hcm,08:00,18:00,25,5T_allowed,normal
C027,Store_027,10.74395,106.739483,Nha Be,south_hcm,08:00,17:00,16,5T_allowed,normal
C028,Store_028,10.70979,106.742187,District 7,south_hcm,08:00,18:00,30,2T_only,vip
C029,Store_029,10.658849,106.669598,Binh Chanh,south_hcm,08:00,17:00,30,cold_required,normal
C030,Store_030,10.654523,106.682533,Binh Chanh,south_hcm,09:00,17:00,21,cold_required,normal
C031,Store_031,10.688868,106.677135,Binh Chanh,south_hcm,08:00,18:00,24,5T_allowed,normal
C032,Store_032,10.732874,106.685675,Nha Be,south_hcm,08:00,18:00,29,5T_allowed,normal
C033,Store_033,10.678093,106.70427,Nha Be,south_hcm,08:00,18:00,22,5T_allowed,normal
