order_id,customer_id,order_time,sku_count,carton_qty,weight_kg,cbm,fresh_flag,cold_flag,priority,inventory_available
O0001,C051,08:01,16,14,76.8,1.63,0,1,normal,True
O0002,C059,07:17,4,5,190.8,4.52,0,0,normal,True
O0003,C045,06:49,9,1,83.7,0.22,1,0,normal,True
O0004,C017,06:36,13,5,71.3,3.68,0,0,normal,True
O0005,C015,09:19,20,5,272.6,5.75,1,1,normal,True
O0006,C092,08:44,11,12,340.9,3.64,0,0,normal,True
O0007,C073,10:34,12,9,10.0,2.58,0,0,normal,True
O0008,C056,11:57,7,7,294.8,5.8,0,0,normal,True
O0009,C069,10:27,9,6,333.1,0.61,0,0,normal,True
O0010,C032,11:39,12,8,76.8,1.35,0,0,normal,True
O0011,C044,08:44,8,9,38.8,4.35,0,0,normal,True
O0012,C098,07:41,4,1,121.2,2.49,0,0,normal,True
O0013,C085,07:35,19,12,135.7,4.25,0,0,normal,True
O0014,C033,08:12,7,13,80.7,4.46,0,0,normal,True
O0015,C076,11:38,11,4,94.9,1.16,1,0,normal,True
O0016,C069,06:03,17,3,45.5,0.17,0,0,normal,True
O0017,C062,06:03,4,2,163.3,0.54,0,0,normal,True
O0018,C007,08:19,15,9,244.5,4.77,0,1,vip,True
O0019,C067,07:19,20,5,250.3,3.7,0,0,normal,True
O0020,C098,06:16,19,3,34.7,0.12,1,0,normal,True
O0021,C077,06:14,16,14,33.1,1.48,0,0,normal,True
O0022,C081,06:27,10,3,331.5,0.52,0,1,normal,True
O0023,C040,08:58,11,12,281.4,5.66,1,0,normal,True
O0024,C064,08:02,10,10,15.2,1.45,0,0,normal,True
O0025,C074,06:48,7,1,190.8,3.94,0,0,normal,True
O0026,C024,10:40,13,8,166.3,1.99,0,0,normal,True
O0027,C021,08:31,19,14,19.5,0.62,0,0,normal,True
O0028,C015,10:55,19,11,187.5,0.42,0,0,normal,True
O0029,C080,11:28,6,9,371.4,2.68,0,0,normal,True
O0030,C016,08:38,19,5,10.4,2.51,0,0,normal,True
O0031,C015,06:41,11,12,206.0,1.71,0,0,normal,True
O0032,C061,08:09,6,9,346.3,1.73,0,0,vip,True
O0033,C054,08:17,20,5,234.1,3.99,0,0,normal,True
O0034,C058,07:21,12,8,348.5,5.89,0,0,normal,True
O0035,C050,07:02,14,15,157.5,4.02,0,1,normal,True
O0036,C020,06:08,5,14,350.3,2.7,0,0,vip,True
O0037,C059,06:26,17,2,313.7,1.66,0,0,normal,True
O0038,C051,07:54,17,6,349.6,0.31,0,0,normal,True
O0039,C081,07:14,5,2,180.3,4.19,0,0,normal,True
O0040,C006,06:18,18,4,167.8,4.12,0,0,vip,True
O0041,C023,07:39,6,10,96.7,3.86,0,1,normal,True
O0042,C086,07:57,16,2,378.4,5.93,0,0,vip,True
O0043,C055,07:54,17,14,47.1,2.35,0,0,normal,True
O0044,C038,10:01,2,5,228.5,4.15,0,0,vip,True
O0045,C007,11:31,9,13,244.8,2.18,0,0,vip,True
O0046,C080,08:49,5,11,361.8,3.91,0,0,normal,True
O0047,C057,07:46,15,6,74.4,0.88,0,1,normal,True
