truck_id,truck_type,max_kg,max_cbm,cold_capable,fixed_cost,cost_per_km,driver_cost_per_hour,can_use_after_16,max_stops
T01,5T,5000,28,0,800000,8000,45000,0,30
T02,5T,5000,28,0,800000,8000,45000,0,30
T03,5T,5000,28,0,800000,8000,45000,0,30
T04,5T,5000,28,0,800000,8000,45000,0,30
T05,5T,5000,28,0,800000,8000,45000,0,30
T06,2T,2000,12,0,500000,6000,40000,0,20
T07,2T,2000,12,0,500000,6000,40000,0,20
T08,2T,2000,12,0,500000,6000,40000,0,20
T09,2T,2000,12,0,500000,6000,40000,0,20
T10,2T,2000,12,0,500000,6000,40000,0,20
T11,2T,2000,12,0,500000,6000,40000,0,20
T12,2T,2000,12,0,500000,6000,40000,0,20
T13,cold_2T,2000,10,1,900000,9000,50000,0,15
T14,cold_2T,2000,10,1,900000,9000,50000,0,15
T15,exception_van,700,4,0,400000,5000,35000,1,10
T16,exception_van,700,4,0,400000,5000,35000,1,10
