route_id,truck_id,truck_type,zone,num_customers,num_orders,depart_time,finish_time,total_kg,total_cbm,kg_utilization,cbm_utilization,route_km,sla_status,deadline
R001,T13,cold_2T,south_hcm,3,4,09:00,12:10,1084.8,9.03,0.542,0.903,54.2,OK,15:30
R002,T13,cold_2T,south_hcm,2,2,09:00,11:23,333.1,5.98,0.167,0.598,41.3,OK,15:30
R003,T01,5T,south_hcm,6,7,09:00,14:07,1051.2,15.3,0.21,0.546,69.5,OK,15:30
R004,T06,2T,south_hcm,1,1,09:00,10:28,117.9,0.15,0.059,0.012,24.4,OK,15:30
R005,T13,cold_2T,central_hcm,3,3,09:00,11:08,764.7,8.31,0.382,0.831,19.6,OK,15:30
R006,T13,cold_2T,central_hcm,2,2,09:00,10:22,328.6,8.44,0.164,0.844,15.9,OK,15:30
R007,T01,5T,central_hcm,7,9,09:00,13:44,1024.9,26.15,0.205,0.934,51.7,OK,15:30
R008,T01,5T,central_hcm,4,4,09:00,12:09,1093.0,17.14,0.219,0.612,38.3,OK,15:30
R009,T06,2T,central_hcm,2,2,09:00,10:31,545.5,10.6,0.273,0.883,20.2,OK,15:30
R010,T06,2T,central_hcm,1,1,09:00,09:47,71.9,4.35,0.036,0.362,10.5,OK,15:30
R011,T13,cold_2T,east_hcm,5,5,09:00,12:12,581.3,9.59,0.291,0.959,40.0,OK,15:30
R012,T13,cold_2T,east_hcm,1,1,09:00,10:05,297.7,5.83,0.149,0.583,20.9,OK,15:30
R013,T01,5T,east_hcm,8,12,09:00,14:58,2794.2,25.67,0.559,0.917,71.7,OK,15:30
R014,T01,5T,east_hcm,6,8,09:00,13:55,1868.8,25.36,0.374,0.906,62.4,OK,15:30
R015,T06,2T,east_hcm,1,2,09:00,09:56,504.5,6.18,0.252,0.515,11.8,OK,15:30
R016,T13,cold_2T,north_hcm,2,2,09:00,10:43,239.9,9.05,0.12,0.905,23.7,OK,15:30
R017,T01,5T,north_hcm,8,11,09:00,14:48,2866.6,27.99,0.573,1.0,69.6,OK,15:30
R018,T01,5T,north_hcm,3,3,09:00,11:33,331.6,11.25,0.066,0.402,35.2,OK,15:30
R019,T06,2T,north_hcm,2,2,09:00,10:48,206.8,4.25,0.103,0.354,23.8,OK,15:30
R020,T13,cold_2T,west_hcm,3,3,09:00,12:19,812.3,9.76,0.406,0.976,54.3,OK,15:30
R021,T13,cold_2T,west_hcm,1,1,09:00,10:06,131.0,3.63,0.066,0.363,20.7,OK,15:30
R022,T01,5T,west_hcm,6,11,09:00,14:13,1241.3,27.72,0.248,0.99,74.4,OK,15:30
R023,T01,5T,west_hcm,6,9,09:00,14:26,1998.7,27.5,0.4,0.982,78.2,OK,15:30
R024,T01,5T,west_hcm,1,1,09:00,10:37,64.5,5.99,0.013,0.214,31.2,OK,15:30
R025,T06,2T,west_hcm,1,1,09:00,11:04,163.3,0.54,0.082,0.045,45.0,OK,15:30
