scenario_name,cot_time,eligible_orders,assigned_orders,unassigned_orders,on_time_rate,late_orders,used_trucks,total_km,total_cost,cost_per_order,avg_fill_rate,max_route_finish_time,feasible_100_sla,recommendation_rank
base_current,09:00,150,150,0,1.0,0,34,1387.7,46199169.44444445,307994.0,0.468,15:05,True,8
cot_08_00,08:00,107,107,0,1.0,0,25,1008.5,33039552.77777778,308781.0,0.452,14:58,True,1
cot_08_30,08:30,129,129,0,1.0,0,27,1146.9,36763527.777777776,284989.0,0.501,15:10,True,3
add_2_trucks,09:00,150,150,0,1.0,0,34,1387.7,46199169.44444445,307994.0,0.468,15:05,True,7
add_5_trucks,09:00,150,150,0,1.0,0,34,1387.7,46199169.44444445,307994.0,0.468,15:05,True,6
add_cold_truck,09:00,150,150,0,1.0,0,34,1387.7,46199169.44444445,307994.0,0.468,15:05,True,10
add_labor_10pct,09:00,150,150,0,1.0,0,34,1387.7,46199169.44444445,307994.0,0.468,15:05,True,9
slotting_improvement_15pct,09:00,150,150,0,1.0,0,34,1385.2,46099471.52777778,307330.0,0.468,15:29,True,5
exception_vehicle,09:00,150,150,0,1.0,0,34,1387.7,45435069.44444445,302900.0,0.472,15:05,True,4
demand_plus_20pct,09:00,150,150,0,1.0,0,40,1499.7,52594852.777777776,350632.0,0.477,15:29,True,11
combined_best,08:30,129,129,0,1.0,0,27,1146.9,36681402.777777776,284352.0,0.501,15:10,True,2
